player_name,previous_injury_date,next_injury_date,num_games,average_spin_rate,average_velocity,average_effective_speed,average_vx0,average_vy0,average_vz0,weight,height,bats,throws,recurrence,EVENT
"Holloway, Jordan",2024-01-01,2024-12-31,2,2096.095238095238,93.25714285714287,93.06666666666668,3.7608413933170306,-135.65173548664046,-5.625334034711234,230.0,78.0,2,1,0,False
"Hollowell, Gavin",2024-01-01,2024-12-31,1,2588.655172413793,90.10344827586206,90.50344827586207,6.757777372772937,-131.06787740675256,-0.7304142249579186,215.0,79.0,2,1,0,False
"Holmes, Clay",2024-01-01,2024-12-31,83,2410.748024589297,91.82693239981752,91.07899555746364,3.016098338565543,-133.5730344668909,-5.551696871831825,245.0,77.0,2,1,0,False
"Holton, Tyler",2024-01-01,2024-12-31,76,2233.333596665795,87.18306792986215,87.55236928916779,-4.558027104446152,-126.8743417584953,-4.070334394384794,200.0,74.0,1,0,0,False
"Houser, Adrian",2024-01-01,2024-12-31,24,2067.0257411539606,89.14567884349583,89.82840083703373,5.178821209700447,-129.66663336775076,-4.101702261055464,222.0,75.0,2,1,0,False
"Howard, Spencer",2024-01-01,2024-12-31,11,2015.5487907559477,88.48661665761101,89.00527185760359,6.488281690012315,-128.6625917805951,-4.466780849044744,210.0,75.0,2,1,0,False
"Hughes, Brandon",2024-01-01,2024-12-31,17,2378.581022061938,88.17730518393627,88.42196514189058,-7.069223815959293,-128.20608407385,-2.6955001967986565,225.0,74.0,0,0,0,False
"Iglesias, Raisel",2024-01-01,2024-12-31,69,2296.734726560252,91.24778478672515,90.99727562297149,5.802628810520532,-132.72010261077256,-4.236324565274921,190.0,74.0,2,1,0,False
"Irvin, Cole",2024-01-01,2024-12-31,31,2042.311336325092,86.0063037082078,85.98182490507352,-3.3779100496380416,-125.16466901872246,-3.312618739189984,217.0,76.0,1,0,0,False
"Irvin, Jake",2024-01-01,2024-12-31,34,2413.2208570017137,89.37662756595759,90.6768646318723,6.560399392220386,-130.01111504899788,-3.0090698749872096,227.0,78.0,2,1,0,False
